Area, PercentFilled, BoundingBoxRatio, OrientationAngle, Label 
29420, 0.717806, 0.640316,     -0.0439691,     wallet
10978, 0.856987, 0.860656,     0.0495239,     mouse
18855, 0.846579, 0.604167,     0.0717278,     wallet
23420, 0.861726, 0.593458,     -0.00841677,     wallet
33068, 0.662553, 0.481366,     -0.203553,     mouse
16929, 0.640038, 0.5,     0.256348,     mouse
17162, 0.564335, 3.51613,     -1.48875,     watch
17655, 0.875527, 0.589189,     0.0192944,     wallet
24603, 0.519248, 0.468553,     0.0860833,     wallet
12194, 0.81817, 0.782609,     0.173142,     mouse
20272, 0.888538, 0.6,     -0.00420744,     wallet
42681, 0.683355, 0.446524,     0.146063,     mouse
21216, 0.504183, 0.608365,     0.420797,     glove
7276, 0.517902, 3.53968,     -1.50413,     watch
53710, 0.56288, 0.708447,     0.50965,     glove
28582, 0.542971, 0.486322,     -0.0425109,     wallet
73603, 0.746481, 0.545882,     0.000474414,     wallet
21584, 0.582093, 3.49515,     -1.53439,     watch
21558, 0.895563, 0.578431,     -0.052235,     wallet
39970, 0.643639, 0.69,     -0.371579,     glove
11348, 0.6851, 0.405941,     0.102585,     mouse
22606, 0.866927, 0.580189,     -0.06092,     wallet
43395, 0.846732, 0.82,     0.0394752,     mouse
8589, 0.674811, 0.430233,     0.157074,     mouse
6197, 0.68642, 0.412162,     0.12731,     mouse
12963, 0.144354, 0.445434,     0.409575,     watch
54619, 0.657427, 0.864516,     -0.829826,     glove
19951, 0.831292, 0.6,     0.0856232,     wallet
29515, 0.455535, 0.511236,     0.104907,     wallet
31150, 0.47673, 0.501385,     -0.0938501,     wallet
16804, 0.809831, 0.753012,     0.230374,     mouse
72955, 0.646478, 0.824324,     -0.668358,     glove
11645, 0.146829, 0.535065,     -0.491604,     watch
18602, 0.553631, 3.64583,     -1.49336,     watch
46212, 0.655192, 0.743506,     0.108497,     glove
19657, 0.551048, 3.29808,     -1.49726,     watch
115242, 0.609978, 0.439024,     -0.107969,     glove
9980, 0.803802, 0.757812,     -0.250131,     mouse
20164, 0.557741, 3.40777,     1.537,     watch
26333, 0.819118, 0.618421,     -0.0323428,     wallet
22308, 0.624961, 0.410169,     -0.0326136,     glove
34654, 0.664481, 0.484756,     0.192639,     mouse
16865, 0.657633, 0.515695,     -0.255313,     mouse
16687, 0.568978, 3.31915,     -1.5206,     watch
13664, 0.813818, 0.787671,     -0.262787,     mouse
37464, 0.639536, 0.696552,     -0.263829,     glove
43007, 0.664694, 0.462567,     -0.185785,     mouse
13632, 0.194326, 0.212174,     0.18898,     watch
22053, 0.836767, 0.418327,     -0.00677515,     wallet
10561, 0.153906, 0.310638,     -0.290211,     watch
53400, 0.634581, 0.415556,     0.00659336,     glove
46922, 0.644108, 0.738854,     -0.363851,     glove
30200, 0.839939, 0.552941,     -0.00467577,     wallet
20252, 0.542774, 3.32075,     1.53698,     watch
6989, 0.867337, 1.29114,     -1.49515,     duster
11693, 0.798702, 0.983607,     -1.09284,     duster
13881, 0.497973, 0.560538,     -0.384179,     duster
9834, 0.700627, 1.0431,     -1.08033,     duster
8286, 0.71094, 1.05714,     -1.11684,     duster
11179, 0.815866, 0.280543,     0.0393012,     duster
10781, 0.916752, 1.22449,     1.55497,     duster
9341, 0.756847, 1.18627,     -1.27201,     duster
14144, 0.776247, 1.03008,     1.10648,     duster
22300, 0.754423, 1.05988,     -1.15416,     duster
